Input,distal,proximal
raw/static/trackTest-8Nov2021-C222-Y1/8/FH512_noDither_gradSpoiled-2021-11-08T17_54_48.780,6,7
raw/static/trackTest-8Nov2021-C222-Y1/8/SRI_Original-2021-11-08T17_55_35.978,6,7
raw/static/trackTest-8Nov2021-C222-Y1/9/FH512_noDither_gradSpoiled-2021-11-08T18_06_42.710,6,7
raw/static/trackTest-8Nov2021-C222-Y1/9/SRI_Original-2021-11-08T18_07_31.782,6,7
raw/static/trackTest-9Jan2022-C231-Y2/10/FH512_noDither_gradSpoiled-2022-01-09T16_42_15.631,6,7
raw/static/trackTest-9Jan2022-C231-Y2/10/SRI_Original-2022-01-09T16_43_30.413,6,7
raw/static/trackTest-9Jan2022-C231-Y2/11/FH512_noDither_gradSpoiled-2022-01-09T16_57_26.667,6,7
raw/static/trackTest-9Jan2022-C231-Y2/11/SRI_Original-2022-01-09T16_58_22.464,6,7
raw/static/trackTest-9Jan2022-C231-Y2/12/FH512_noDither_gradSpoiled-2022-01-09T17_08_16.694,6,7
raw/static/trackTest-9Jan2022-C231-Y2/12/SRI_Original-2022-01-09T17_09_14.726,6,7
raw/static/trackTest-9Jan2022-C231-Y2/13/FH512_noDither_gradSpoiled-2022-01-09T17_20_00.136,6,7
raw/static/trackTest-9Jan2022-C231-Y2/13/SRI_Original-2022-01-09T17_20_58.450,6,7
raw/static/trackTest-9Jan2022-C231-Y2/14/FH512_noDither_gradSpoiled-2022-01-09T17_30_35.480,6,7
raw/static/trackTest-9Jan2022-C231-Y2/14/SRI_Original-2022-01-09T17_31_20.796,6,7
raw/static/trackTest-9Jan2022-C231-Y2/15/FH512_noDither_gradSpoiled-2022-01-09T17_42_47.721,6,7
raw/static/trackTest-9Jan2022-C231-Y2/15/SRI_Original-2022-01-09T17_43_36.986,6,7
raw/static/trackTest-9Jan2022-C231-Y2/16/FH512_noDither_gradSpoiled-2022-01-09T17_55_10.894,6,7
raw/static/trackTest-9Jan2022-C231-Y2/16/SRI_Original-2022-01-09T17_55_57.959,6,7
raw/static/trackTest-9Jan2022-C231-Y2/1/FH512_noDither_gradSpoiled-2022-01-09T14_44_10.741,6,7
raw/static/trackTest-9Jan2022-C231-Y2/1/SRI_Original-2022-01-09T14_45_01.523,6,7
raw/static/trackTest-9Jan2022-C231-Y2/2/FH512_noDither_gradSpoiled-2022-01-09T14_55_13.102,6,7
raw/static/trackTest-9Jan2022-C231-Y2/2/SRI_Original-2022-01-09T14_56_03.833,6,7
raw/static/trackTest-9Jan2022-C231-Y2/3/FH512_noDither_gradSpoiled-2022-01-09T15_07_01.893,6,7
raw/static/trackTest-9Jan2022-C231-Y2/3/SRI_Original-2022-01-09T15_07_47.359,6,7
